converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
진,41,True,侲 / 儘 / 唇 / 嗔 / 塵 / 振 / 搢 / 晉 / 晋 / 桭 / 榛 / 殄 / 津 / 溱 / 珍 / 瑨 / 瑱 / 璡 / 畛 / 疹 / 盡 / 眞 / 瞋 / 禛 / 秦 / 縉 / 縝 / 臻 / 蓁 / 蔯 / 袗 / 診 / 賑 / 趁 / 軫 / 辰 / 進 / 鎭 / 陣 / 陳 / 震,6465,751
추,41,True,啾 / 墜 / 帚 / 惆 / 抽 / 捶 / 推 / 搥 / 椎 / 楸 / 樞 / 湫 / 甃 / 瘳 / 皺 / 秋 / 箒 / 箠 / 縋 / 芻 / 萩 / 蒭 / 諏 / 趨 / 追 / 鄒 / 酋 / 醜 / 錐 / 錘 / 鎚 / 陬 / 隹 / 雛 / 鞦 / 騅 / 騶 / 魋 / 鰌 / 鰍 / 麤,2439,297
서,39,True,叙 / 噬 / 墅 / 壻 / 婿 / 嶼 / 序 / 庶 / 徐 / 恕 / 抒 / 捿 / 撕 / 敍 / 暑 / 曙 / 書 / 栖 / 棲 / 澨 / 犀 / 瑞 / 筮 / 紓 / 絮 / 緖 / 署 / 耡 / 胥 / 舒 / 薯 / 西 / 誓 / 諝 / 逝 / 鉏 / 鋤 / 黍 / 鼠,5555,619
인,38,True,人 / 仁 / 仞 / 刃 / 印 / 吝 / 因 / 堙 / 夤 / 姻 / 婣 / 寅 / 嶙 / 引 / 忍 / 扨 / 氤 / 湮 / 燐 / 獜 / 璘 / 磷 / 籾 / 絪 / 茵 / 藺 / 蚓 / 認 / 諲 / 躙 / 躪 / 鄰 / 隣 / 靭 / 靷 / 韌 / 鱗 / 麟,9085,1039
선,37,True,仙 / 僊 / 先 / 善 / 嬋 / 宣 / 尟 / 尠 / 扇 / 旋 / 洒 / 煽 / 瑄 / 璇 / 璿 / 癬 / 禪 / 秈 / 綫 / 線 / 縇 / 繕 / 羨 / 腺 / 膳 / 船 / 蘚 / 蟬 / 詵 / 譔 / 跣 / 選 / 銑 / 饍 / 鮮 / 鱓 / 鱻,5831,663
치,37,True,侈 / 値 / 卮 / 嗤 / 寘 / 峙 / 巵 / 幟 / 徵 / 恥 / 梔 / 治 / 淄 / 熾 / 痔 / 痴 / 癡 / 稚 / 穉 / 絺 / 緇 / 緻 / 置 / 致 / 菑 / 薙 / 蚩 / 褫 / 豸 / 輜 / 錙 / 雉 / 馳 / 鯔 / 鴟 / 鵄 / 齒,4309,496
예,37,True,乂 / 例 / 倪 / 刈 / 叡 / 囈 / 曳 / 枘 / 濊 / 猊 / 獩 / 睨 / 睿 / 禮 / 穢 / 繄 / 羿 / 翳 / 芮 / 蕊 / 薉 / 藝 / 蘂 / 蚋 / 裔 / 詣 / 譽 / 豫 / 醴 / 銳 / 隷 / 隸 / 霓 / 預 / 鯢 / 鱧 / 麑,2808,295
상,36,True,上 / 傷 / 像 / 償 / 商 / 喪 / 嘗 / 孀 / 尙 / 峠 / 常 / 床 / 庠 / 廂 / 徜 / 想 / 晌 / 桑 / 橡 / 殤 / 湘 / 爽 / 牀 / 狀 / 甞 / 相 / 祥 / 箱 / 翔 / 裳 / 觴 / 詳 / 象 / 賞 / 霜 / 顙,12378,1398
위,36,True,位 / 偉 / 僞 / 危 / 喟 / 圍 / 委 / 威 / 尉 / 幃 / 慰 / 渭 / 煒 / 熨 / 爲 / 瑋 / 痿 / 緯 / 胃 / 萎 / 葦 / 葳 / 蔿 / 蝟 / 衛 / 衞 / 諉 / 謂 / 逶 / 違 / 闈 / 韋 / 韙 / 餧 / 骪 / 魏,7850,964
방,35,True,仿 / 倣 / 傍 / 厖 / 坊 / 妨 / 尨 / 幇 / 幫 / 彷 / 房 / 放 / 方 / 旁 / 旊 / 昉 / 枋 / 榜 / 滂 / 磅 / 紡 / 肪 / 膀 / 舫 / 芳 / 蒡 / 蚌 / 螃 / 訪 / 謗 / 邦 / 防 / 髣 / 魴 / 龐,4266,506
노,35,True,努 / 勞 / 呶 / 壚 / 奴 / 孥 / 弩 / 怒 / 撈 / 擄 / 櫓 / 櫨 / 滷 / 潦 / 瀘 / 爐 / 猱 / 瑙 / 癆 / 老 / 艫 / 蘆 / 虜 / 路 / 輅 / 轤 / 露 / 顱 / 駑 / 魯 / 鱸 / 鷺 / 鸕 / 鹵 / 勞働,4765,506
모,35,True,侔 / 侮 / 冒 / 募 / 姆 / 姥 / 媢 / 帽 / 慕 / 摸 / 摹 / 旄 / 暮 / 某 / 模 / 母 / 毛 / 牟 / 牡 / 瑁 / 皃 / 眸 / 矛 / 糢 / 耄 / 耗 / 芼 / 茅 / 蝥 / 蟊 / 謀 / 謨 / 貌 / 鉾 / 髦,4575,478
강,34,True,僵 / 剛 / 堈 / 姜 / 岡 / 崗 / 康 / 強 / 强 / 彊 / 慷 / 扛 / 杠 / 椌 / 橿 / 殭 / 江 / 炕 / 疆 / 矼 / 糠 / 絳 / 綱 / 羌 / 羗 / 腔 / 舡 / 薑 / 襁 / 講 / 豇 / 鋼 / 降 / 韁,4595,543
교,34,True,交 / 佼 / 僑 / 咬 / 喬 / 嘐 / 噭 / 嚙 / 嬌 / 嶠 / 巧 / 憍 / 攪 / 敎 / 教 / 校 / 榷 / 橋 / 狡 / 皎 / 矯 / 磽 / 窖 / 絞 / 翹 / 膠 / 蕎 / 蛟 / 蹻 / 較 / 轎 / 郊 / 驕 / 鮫,4382,451
포,34,True,佈 / 包 / 匍 / 匏 / 咆 / 哺 / 圃 / 布 / 庖 / 怖 / 抛 / 抱 / 捕 / 晡 / 泡 / 浦 / 炮 / 疱 / 砲 / 胞 / 脯 / 舖 / 苞 / 葡 / 蒲 / 袍 / 褒 / 逋 / 鉋 / 鋪 / 鞄 / 飽 / 餔 / 鮑,2711,315
제,33,True,儕 / 制 / 劑 / 啼 / 堤 / 娣 / 帝 / 弟 / 悌 / 提 / 擠 / 梯 / 濟 / 祭 / 稊 / 第 / 緹 / 臍 / 薺 / 製 / 諸 / 踶 / 蹄 / 躋 / 醍 / 除 / 隄 / 際 / 隮 / 霽 / 題 / 鮧 / 齊,7502,960
가,33,True,伽 / 佳 / 假 / 價 / 加 / 可 / 呵 / 哥 / 嘉 / 坷 / 嫁 / 家 / 暇 / 架 / 枷 / 柯 / 榎 / 檟 / 歌 / 珈 / 痂 / 稼 / 笳 / 苛 / 茄 / 葭 / 街 / 袈 / 訶 / 賈 / 軻 / 迦 / 駕,7863,871
간,33,True,乾 / 侃 / 刊 / 墾 / 奸 / 姦 / 干 / 幹 / 忓 / 慳 / 懇 / 揀 / 杆 / 柬 / 栞 / 桿 / 榦 / 澗 / 玕 / 癎 / 看 / 磵 / 稈 / 竿 / 簡 / 肝 / 艮 / 艱 / 諫 / 赶 / 迀 / 間 / 齦,3893,444
창,33,True,倀 / 倉 / 倡 / 傖 / 刱 / 創 / 唱 / 娼 / 廠 / 彰 / 悵 / 惝 / 愴 / 搶 / 敞 / 昌 / 昶 / 晿 / 暢 / 槍 / 氅 / 滄 / 漲 / 猖 / 瘡 / 窓 / 脹 / 艙 / 菖 / 蒼 / 蹌 / 錆 / 鶬,2575,305
원,32,True,元 / 冤 / 原 / 員 / 園 / 圓 / 垣 / 媛 / 嫄 / 寃 / 怨 / 愿 / 援 / 楥 / 沅 / 洹 / 湲 / 源 / 爰 / 猿 / 瑗 / 芫 / 苑 / 蜿 / 袁 / 轅 / 遠 / 院 / 願 / 鴛 / 鵷 / 黿,7783,930
계,32,True,係 / 啓 / 堦 / 堺 / 契 / 季 / 屆 / 悸 / 戒 / 桂 / 械 / 棨 / 溪 / 烓 / 界 / 癸 / 禊 / 稽 / 筓 / 系 / 綮 / 縘 / 繫 / 繼 / 薊 / 計 / 誡 / 谿 / 階 / 雞 / 髻 / 鷄,3999,436
적,29,True,勣 / 吊 / 嫡 / 寂 / 摘 / 敵 / 滴 / 炙 / 狄 / 的 / 磧 / 積 / 笛 / 籍 / 糴 / 績 / 翟 / 荻 / 覿 / 謫 / 賊 / 赤 / 跡 / 蹟 / 迪 / 迹 / 逖 / 適 / 鏑,8770,986
용,29,True,俑 / 傭 / 冗 / 勇 / 埇 / 墉 / 宂 / 容 / 庸 / 慂 / 慵 / 榕 / 涌 / 湧 / 溶 / 熔 / 瑢 / 用 / 甬 / 聳 / 舂 / 茸 / 蓉 / 蛹 / 踊 / 踴 / 鎔 / 鏞 / 龍,4602,550
감,29,True,勘 / 坎 / 坩 / 堪 / 嵌 / 弇 / 感 / 憨 / 憾 / 戡 / 撼 / 敢 / 柑 / 橄 / 歛 / 泔 / 減 / 甘 / 疳 / 監 / 瞰 / 紺 / 轗 / 邯 / 酣 / 鑑 / 鑒 / 鹻 / 龕,3223,346
희,29,True,俙 / 僖 / 凞 / 唏 / 喜 / 嘻 / 噫 / 囍 / 姬 / 嬉 / 希 / 悕 / 憙 / 戱 / 戲 / 晞 / 曦 / 欷 / 熈 / 熙 / 熹 / 熺 / 燹 / 犧 / 禧 / 稀 / 羲 / 豨 / 餼,1926,240
염,29,True,冉 / 厭 / 塩 / 奩 / 廉 / 念 / 恬 / 扊 / 拈 / 捻 / 斂 / 染 / 殮 / 濂 / 瀲 / 炎 / 焰 / 琰 / 磏 / 簾 / 艶 / 艷 / 苒 / 閻 / 饜 / 髥 / 魘 / 鹽 / 黶,1933,209
반,28,True,伴 / 半 / 反 / 叛 / 扳 / 拌 / 搬 / 攀 / 斑 / 槃 / 泮 / 潘 / 班 / 畔 / 瘢 / 盤 / 盼 / 磐 / 磻 / 礬 / 絆 / 胖 / 般 / 蟠 / 豳 / 返 / 頒 / 飯,3409,385
신,27,True,伸 / 信 / 呻 / 哂 / 娠 / 宸 / 愼 / 新 / 晨 / 汛 / 燼 / 申 / 矧 / 神 / 紳 / 腎 / 臣 / 莘 / 薪 / 藎 / 蜃 / 訊 / 贐 / 身 / 辛 / 迅 / 頣,7930,928
